S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,TSS,Q,EQIvecinst,mR,tagS,tagF,series_diff,tagR
4590.69987914812,9133.93620157684,832.222444286688,72.7592635041933,882.168089753285,54.3031210149735,0.0144405427405866,16.930370384411,2750.03377904511,872.309096030042,1617.89300444137,12978768.9650333,135195.510052676,,,,,0,0,,0
4441.13442664697,8806.22342974366,794.984883554304,70.0999115821938,842.533086482496,51.8707500785642,0.0164831472167254,25.688378995822,2722.78711455888,845.675588405886,1550.5596370935,12708575.6892936,132380.996763715,,,,,0,0,,0
4363.63914938274,8509.93666441049,770.854335789051,68.4512960194201,816.921024360445,50.2967770421066,0.0180957512586559,38.743275543571,2726.18062078439,831.894154402611,1509.38860688006,12572103.5980947,130959.412479676,,,,,0,0,,0
4431.24997229912,8392.55743179361,773.943602583997,69.1708650635635,820.275607200718,50.5015513452033,0.0198524128628562,58.4255550420431,2810.13814026434,844.88842280922,1522.19169452378,12796252.455675,133294.296413524,,,,,0,0,,0
4558.47395162954,8275.46090832388,790.309796553042,71.1250122398436,837.815428151895,51.5767857083645,0.0219287819004752,86.541632334351,2923.17443481369,868.186366514294,1561.87032518104,13139068.8340039,136865.300354456,,,,,0,0,,0
4697.23734038925,8062.95940044475,812.094748256939,73.663142970849,861.202195839587,53.0120316316582,0.0243920054480327,124.546696000446,3033.14735909556,892.333263492185,1612.81185111547,13456546.6765225,140172.361213266,,,,,0,0,,0
4878.47846790182,7805.2881042983,844.949435164941,77.3303678242491,896.411195073036,55.1788864013986,0.0277197922492126,175.487356873937,3157.39568539467,922.85569534892,1686.0061308725,13829326.1910792,144055.481157337,,,,,0,0,,0
5153.49615350527,7563.43346235471,899.044807050464,83.1297527631058,954.212021680518,58.7458683814035,0.032797100507946,245.335294032241,3325.53717341254,968.880688656619,1801.67294042946,14388624.0994365,149881.50103607,,,,,0,0,,0
5461.84403190424,7220.78682310153,965.681026354855,90.3481506036832,1025.33999708945,63.1504851385511,0.040092268436676,336.623166871069,3492.81484820409,1018.23329972725,1942.2654088185,14944269.6350605,155669.475364647,,,,,0,0,,0
5771.32004636292,6738.10858240019,1040.11880979381,98.5777770571422,1104.7118735359,68.0877312437498,0.0501927779266369,450.442354615281,3632.12625704734,1064.26165622843,2097.83721594555,15392165.4127554,160335.05638316,,,,,0,0,,0
6108.38335640499,6163.84605448338,1127.72036211832,108.334828891678,1197.96498828486,73.9125945461678,0.0642706248412608,590.612727384457,3753.71358089946,1111.30718496639,2278.73532607261,15790775.0402983,164487.240003406,,,,,0,0,,0
6508.83418132628,5540.91739316758,1236.86304792999,120.467175137472,1313.93536323833,81.1796319870314,0.0843359317932729,763.650072641612,3871.42268081781,1165.12279451252,2501.44772033753,16214651.3972234,168902.618720463,,,,,0,0,,0
6923.41720498687,4839.56748453205,1360.24861600636,134.319980576759,1444.80265546169,89.4158000807674,0.111853183270543,966.144032133225,3947.3864016298,1216.16342524374,2750.74312363851,16524142.2047721,172126.481300022,,,,,0,0,,0
7327.97825477807,4085.78538032663,1493.14216714055,149.429999357104,1585.48975056101,98.3118288715711,0.147847728141374,1191.99570348815,3964.39767403124,1260.20406552509,3016.66242576715,16664684.2084363,173590.460504861,,,,,0,0,,0
7773.99920933726,3350.4330617445,1646.12297278405,166.882948090128,1747.19853952496,108.565113619339,0.19509928226044,1445.37068077382,3949.52021855681,1306.42655300273,3320.2689228296,16764050.1467079,174625.522360906,,,,,0,0,,0
8311.59247303957,2671.92518192127,1833.78939335037,188.322557029156,1945.36931044385,121.144193523493,0.259666870241869,1734.51227326232,3923.92058504528,1363.16350432834,3690.45647847793,16931026.1507289,176364.855737081,,,,,0,0,,0
8846.77693350753,2039.49999311625,2039.55292879846,212.276954624227,2162.35866503467,134.959450645454,0.344824795523846,2036.82242432398,3842.84884005955,1415.39614331903,4093.29125667729,16987290.353401,176950.941181582,,,,,0,0,,0
